Partition,c,λ2,r,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"13 8 1 1 1 1 1 1 1 1 1 1 1",13,8,13,7,N,Winning,N,31,32,1,"[R1C7,R12C0]"
"14 8 1 1 1 1 1 1 1 1 1 1 1",14,8,13,3,N,Winning,N,31,33,1,"[R0C13,R1C7,R12C0]"
"15 8 1 1 1 1 1 1 1 1 1 1 1",15,8,13,5,N,Winning,N,33,34,1,"[R1C7,R12C0]"
"16 8 1 1 1 1 1 1 1 1 1 1 1",16,8,13,1,N,Winning,N,33,35,1,"[R0C15,R1C7,R12C0]"
"17 8 1 1 1 1 1 1 1 1 1 1 1",17,8,13,4,N,Winning,N,35,36,1,"[R1C7,R12C0]"
"18 8 1 1 1 1 1 1 1 1 1 1 1",18,8,13,3,N,Winning,N,35,37,1,"[R0C17,R1C7,R12C0]"
"19 8 1 1 1 1 1 1 1 1 1 1 1",19,8,13,4,N,Winning,N,37,38,1,"[R1C7,R12C0]"
"20 8 1 1 1 1 1 1 1 1 1 1 1",20,8,13,5,N,Winning,N,37,39,1,"[R0C19,R1C7,R12C0]"
"9 9 1 1 1 1 1 1 1 1 1 1 1",9,9,13,1,N,Winning,N,29,29,1,"[R12C0]"
"10 9 1 1 1 1 1 1 1 1 1 1 1",10,9,13,2,N,Winning,N,29,30,1,"[R0C9,R12C0]"
"11 9 1 1 1 1 1 1 1 1 1 1 1",11,9,13,3,N,Winning,N,31,31,1,"[R12C0]"
"12 9 1 1 1 1 1 1 1 1 1 1 1",12,9,13,4,N,Winning,N,31,32,1,"[R0C11,R12C0]"
"13 9 1 1 1 1 1 1 1 1 1 1 1",13,9,13,5,N,Winning,N,33,33,1,"[R12C0]"
"14 9 1 1 1 1 1 1 1 1 1 1 1",14,9,13,6,N,Winning,N,33,34,1,"[R0C13,R12C0]"
"15 9 1 1 1 1 1 1 1 1 1 1 1",15,9,13,1,N,Winning,N,35,35,1,"[R12C0]"
"16 9 1 1 1 1 1 1 1 1 1 1 1",16,9,13,2,N,Winning,N,35,36,1,"[R0C15,R12C0]"
"17 9 1 1 1 1 1 1 1 1 1 1 1",17,9,13,3,N,Winning,N,37,37,1,"[R12C0]"
"18 9 1 1 1 1 1 1 1 1 1 1 1",18,9,13,2,N,Winning,N,37,38,1,"[R0C17,R12C0]"
"19 9 1 1 1 1 1 1 1 1 1 1 1",19,9,13,1,N,Winning,N,39,39,1,"[R12C0]"
"20 9 1 1 1 1 1 1 1 1 1 1 1",20,9,13,2,N,Winning,N,39,40,1,"[R0C19,R12C0]"
"10 10 1 1 1 1 1 1 1 1 1 1 1",10,10,13,1,N,Winning,N,31,31,1,"[R12C0]"
"11 10 1 1 1 1 1 1 1 1 1 1 1",11,10,13,4,N,Winning,N,31,32,2,"[R0C10,R12C0] / [R1C9,R12C0]"
"12 10 1 1 1 1 1 1 1 1 1 1 1",12,10,13,1,N,Winning,N,31,33,1,"[R0C11,R1C9,R12C0]"
"13 10 1 1 1 1 1 1 1 1 1 1 1",13,10,13,3,N,Winning,N,33,34,1,"[R1C9,R12C0]"
"14 10 1 1 1 1 1 1 1 1 1 1 1",14,10,13,4,N,Winning,N,33,35,1,"[R0C13,R1C9,R12C0]"
"15 10 1 1 1 1 1 1 1 1 1 1 1",15,10,13,3,N,Winning,N,35,36,1,"[R1C9,R12C0]"
"16 10 1 1 1 1 1 1 1 1 1 1 1",16,10,13,5,N,Winning,N,35,37,1,"[R0C15,R1C9,R12C0]"
"17 10 1 1 1 1 1 1 1 1 1 1 1",17,10,13,4,N,Winning,N,37,38,1,"[R1C9,R12C0]"
"18 10 1 1 1 1 1 1 1 1 1 1 1",18,10,13,1,N,Winning,N,37,39,1,"[R0C17,R1C9,R12C0]"
"19 10 1 1 1 1 1 1 1 1 1 1 1",19,10,13,4,N,Winning,N,39,40,1,"[R1C9,R12C0]"
"20 10 1 1 1 1 1 1 1 1 1 1 1",20,10,13,3,N,Winning,N,39,41,1,"[R0C19,R1C9,R12C0]"
"11 11 1 1 1 1 1 1 1 1 1 1 1",11,11,13,1,N,Winning,N,33,33,1,"[R12C0]"
"12 11 1 1 1 1 1 1 1 1 1 1 1",12,11,13,3,N,Winning,N,33,34,1,"[R0C11,R12C0]"
"13 11 1 1 1 1 1 1 1 1 1 1 1",13,11,13,2,N,Winning,N,35,35,1,"[R12C0]"
"14 11 1 1 1 1 1 1 1 1 1 1 1",14,11,13,6,N,Winning,N,35,36,1,"[R0C13,R12C0]"
"15 11 1 1 1 1 1 1 1 1 1 1 1",15,11,13,2,N,Winning,N,37,37,1,"[R12C0]"
"16 11 1 1 1 1 1 1 1 1 1 1 1",16,11,13,1,N,Winning,N,37,38,1,"[R0C15,R12C0]"
"17 11 1 1 1 1 1 1 1 1 1 1 1",17,11,13,7,N,Winning,N,39,39,1,"[R12C0]"
"18 11 1 1 1 1 1 1 1 1 1 1 1",18,11,13,3,N,Winning,N,39,40,1,"[R0C17,R12C0]"
"19 11 1 1 1 1 1 1 1 1 1 1 1",19,11,13,2,N,Winning,N,41,41,1,"[R12C0]"
"20 11 1 1 1 1 1 1 1 1 1 1 1",20,11,13,5,N,Winning,N,41,42,1,"[R0C19,R12C0]"
"12 12 1 1 1 1 1 1 1 1 1 1 1",12,12,13,2,N,Winning,N,35,35,1,"[R12C0]"
"13 12 1 1 1 1 1 1 1 1 1 1 1",13,12,13,5,N,Winning,N,35,36,2,"[R0C12,R12C0] / [R1C11,R12C0]"
"14 12 1 1 1 1 1 1 1 1 1 1 1",14,12,13,3,N,Winning,N,35,37,1,"[R0C13,R1C11,R12C0]"
"15 12 1 1 1 1 1 1 1 1 1 1 1",15,12,13,4,N,Winning,N,37,38,1,"[R1C11,R12C0]"
"16 12 1 1 1 1 1 1 1 1 1 1 1",16,12,13,3,N,Winning,N,37,39,1,"[R0C15,R1C11,R12C0]"
"17 12 1 1 1 1 1 1 1 1 1 1 1",17,12,13,2,N,Winning,N,39,40,1,"[R1C11,R12C0]"
"18 12 1 1 1 1 1 1 1 1 1 1 1",18,12,13,4,N,Winning,N,39,41,1,"[R0C17,R1C11,R12C0]"
"19 12 1 1 1 1 1 1 1 1 1 1 1",19,12,13,5,N,Winning,N,41,42,1,"[R1C11,R12C0]"
"20 12 1 1 1 1 1 1 1 1 1 1 1",20,12,13,1,N,Winning,N,41,43,1,"[R0C19,R1C11,R12C0]"
"13 13 1 1 1 1 1 1 1 1 1 1 1",13,13,13,1,N,Winning,N,37,37,1,"[R12C0]"
"14 13 1 1 1 1 1 1 1 1 1 1 1",14,13,13,2,N,Winning,N,37,38,1,"[R0C13,R12C0]"
"15 13 1 1 1 1 1 1 1 1 1 1 1",15,13,13,5,N,Winning,N,39,39,1,"[R12C0]"
"16 13 1 1 1 1 1 1 1 1 1 1 1",16,13,13,6,N,Winning,N,39,40,1,"[R0C15,R12C0]"
"17 13 1 1 1 1 1 1 1 1 1 1 1",17,13,13,4,N,Winning,N,41,41,1,"[R12C0]"
"18 13 1 1 1 1 1 1 1 1 1 1 1",18,13,13,5,N,Winning,N,41,42,1,"[R0C17,R12C0]"
"19 13 1 1 1 1 1 1 1 1 1 1 1",19,13,13,1,N,Winning,N,43,43,1,"[R12C0]"
"20 13 1 1 1 1 1 1 1 1 1 1 1",20,13,13,2,N,Winning,N,43,44,1,"[R0C19,R12C0]"
"14 14 1 1 1 1 1 1 1 1 1 1 1",14,14,13,1,N,Winning,N,39,39,1,"[R12C0]"
"15 14 1 1 1 1 1 1 1 1 1 1 1",15,14,13,3,N,Winning,N,39,40,2,"[R0C14,R12C0] / [R1C13,R12C0]"
"16 14 1 1 1 1 1 1 1 1 1 1 1",16,14,13,2,N,Winning,N,39,41,1,"[R0C15,R1C13,R12C0]"
"17 14 1 1 1 1 1 1 1 1 1 1 1",17,14,13,5,N,Winning,N,41,42,1,"[R1C13,R12C0]"
"18 14 1 1 1 1 1 1 1 1 1 1 1",18,14,13,1,N,Winning,N,41,43,1,"[R0C17,R1C13,R12C0]"
"19 14 1 1 1 1 1 1 1 1 1 1 1",19,14,13,2,N,Winning,N,43,44,1,"[R1C13,R12C0]"
"20 14 1 1 1 1 1 1 1 1 1 1 1",20,14,13,3,N,Winning,N,43,45,1,"[R0C19,R1C13,R12C0]"
"15 15 1 1 1 1 1 1 1 1 1 1 1",15,15,13,1,N,Winning,N,41,41,1,"[R12C0]"
"16 15 1 1 1 1 1 1 1 1 1 1 1",16,15,13,4,N,Winning,N,41,42,1,"[R0C15,R12C0]"
"17 15 1 1 1 1 1 1 1 1 1 1 1",17,15,13,7,N,Winning,N,43,43,1,"[R12C0]"
"18 15 1 1 1 1 1 1 1 1 1 1 1",18,15,13,2,N,Winning,N,43,44,1,"[R0C17,R12C0]"
"19 15 1 1 1 1 1 1 1 1 1 1 1",19,15,13,3,N,Winning,N,45,45,1,"[R12C0]"
"20 15 1 1 1 1 1 1 1 1 1 1 1",20,15,13,4,N,Winning,N,45,46,1,"[R0C19,R12C0]"
"16 16 1 1 1 1 1 1 1 1 1 1 1",16,16,13,2,N,Winning,N,43,43,1,"[R12C0]"
"17 16 1 1 1 1 1 1 1 1 1 1 1",17,16,13,3,N,Winning,N,43,44,2,"[R0C16,R12C0] / [R1C15,R12C0]"
"18 16 1 1 1 1 1 1 1 1 1 1 1",18,16,13,5,N,Winning,N,43,45,1,"[R0C17,R1C15,R12C0]"
"19 16 1 1 1 1 1 1 1 1 1 1 1",19,16,13,4,N,Winning,N,45,46,1,"[R1C15,R12C0]"
"20 16 1 1 1 1 1 1 1 1 1 1 1",20,16,13,1,N,Winning,N,45,47,1,"[R0C19,R1C15,R12C0]"
"17 17 1 1 1 1 1 1 1 1 1 1 1",17,17,13,1,N,Winning,N,45,45,1,"[R12C0]"
"18 17 1 1 1 1 1 1 1 1 1 1 1",18,17,13,2,N,Winning,N,45,46,1,"[R0C17,R12C0]"
"19 17 1 1 1 1 1 1 1 1 1 1 1",19,17,13,7,N,Winning,N,47,47,1,"[R12C0]"
"20 17 1 1 1 1 1 1 1 1 1 1 1",20,17,13,2,N,Winning,N,47,48,1,"[R0C19,R12C0]"
"18 18 1 1 1 1 1 1 1 1 1 1 1",18,18,13,3,N,Winning,N,47,47,1,"[R12C0]"
"19 18 1 1 1 1 1 1 1 1 1 1 1",19,18,13,4,N,Winning,N,47,48,2,"[R0C18,R12C0] / [R1C17,R12C0]"
"20 18 1 1 1 1 1 1 1 1 1 1 1",20,18,13,3,N,Winning,N,47,49,1,"[R0C19,R1C17,R12C0]"
"19 19 1 1 1 1 1 1 1 1 1 1 1",19,19,13,1,N,Winning,N,49,49,1,"[R12C0]"
"20 19 1 1 1 1 1 1 1 1 1 1 1",20,19,13,2,N,Winning,N,49,50,1,"[R0C19,R12C0]"
"20 20 1 1 1 1 1 1 1 1 1 1 1",20,20,13,3,N,Winning,N,51,51,1,"[R12C0]"
"2 2 1 1 1 1 1 1 1 1 1 1 1 1",2,2,14,0,P,Losing,P,16,16,0,"N/A (P-position)"
"3 2 1 1 1 1 1 1 1 1 1 1 1 1",3,2,14,5,N,Winning,N,15,17,2,"[R0C2] / [R1C1,R13C0]"
"4 2 1 1 1 1 1 1 1 1 1 1 1 1",4,2,14,7,N,Winning,N,15,18,1,"[R0C3,R1C1,R13C0]"
"5 2 1 1 1 1 1 1 1 1 1 1 1 1",5,2,14,4,N,Winning,N,17,19,1,"[R1C1,R13C0]"
"6 2 1 1 1 1 1 1 1 1 1 1 1 1",6,2,14,7,N,Winning,N,17,20,1,"[R0C5,R1C1,R13C0]"
"7 2 1 1 1 1 1 1 1 1 1 1 1 1",7,2,14,4,N,Winning,N,19,21,1,"[R1C1,R13C0]"
"8 2 1 1 1 1 1 1 1 1 1 1 1 1",8,2,14,7,N,Winning,N,19,22,1,"[R0C7,R1C1,R13C0]"
"9 2 1 1 1 1 1 1 1 1 1 1 1 1",9,2,14,4,N,Winning,N,21,23,1,"[R1C1,R13C0]"
"10 2 1 1 1 1 1 1 1 1 1 1 1 1",10,2,14,7,N,Winning,N,21,24,1,"[R0C9,R1C1,R13C0]"
"11 2 1 1 1 1 1 1 1 1 1 1 1 1",11,2,14,4,N,Winning,N,23,25,1,"[R1C1,R13C0]"
"12 2 1 1 1 1 1 1 1 1 1 1 1 1",12,2,14,7,N,Winning,N,23,26,1,"[R0C11,R1C1,R13C0]"
"13 2 1 1 1 1 1 1 1 1 1 1 1 1",13,2,14,4,N,Winning,N,25,27,1,"[R1C1,R13C0]"
"14 2 1 1 1 1 1 1 1 1 1 1 1 1",14,2,14,3,N,Winning,N,25,28,1,"[R0C13,R1C1,R13C0]"
"15 2 1 1 1 1 1 1 1 1 1 1 1 1",15,2,14,6,N,Winning,N,27,29,1,"[R1C1,R13C0]"
"16 2 1 1 1 1 1 1 1 1 1 1 1 1",16,2,14,7,N,Winning,N,27,30,1,"[R0C15,R1C1,R13C0]"
"17 2 1 1 1 1 1 1 1 1 1 1 1 1",17,2,14,6,N,Winning,N,29,31,1,"[R1C1,R13C0]"
"18 2 1 1 1 1 1 1 1 1 1 1 1 1",18,2,14,7,N,Winning,N,29,32,1,"[R0C17,R1C1,R13C0]"
"19 2 1 1 1 1 1 1 1 1 1 1 1 1",19,2,14,6,N,Winning,N,31,33,1,"[R1C1,R13C0]"
"20 2 1 1 1 1 1 1 1 1 1 1 1 1",20,2,14,7,N,Winning,N,31,34,1,"[R0C19,R1C1,R13C0]"
"3 3 1 1 1 1 1 1 1 1 1 1 1 1",3,3,14,0,P,Losing,P,18,18,0,"N/A (P-position)"
"4 3 1 1 1 1 1 1 1 1 1 1 1 1",4,3,14,3,N,Winning,N,19,19,1,"[R0C3]"
"5 3 1 1 1 1 1 1 1 1 1 1 1 1",5,3,14,0,P,Losing,P,20,20,0,"N/A (P-position)"
"6 3 1 1 1 1 1 1 1 1 1 1 1 1",6,3,14,3,N,Winning,N,21,21,1,"[R0C5]"
"7 3 1 1 1 1 1 1 1 1 1 1 1 1",7,3,14,0,P,Losing,P,22,22,0,"N/A (P-position)"
"8 3 1 1 1 1 1 1 1 1 1 1 1 1",8,3,14,3,N,Winning,N,23,23,1,"[R0C7]"
"9 3 1 1 1 1 1 1 1 1 1 1 1 1",9,3,14,0,P,Losing,P,24,24,0,"N/A (P-position)"
"10 3 1 1 1 1 1 1 1 1 1 1 1 1",10,3,14,3,N,Winning,N,25,25,1,"[R0C9]"
"11 3 1 1 1 1 1 1 1 1 1 1 1 1",11,3,14,0,P,Losing,P,26,26,0,"N/A (P-position)"
"12 3 1 1 1 1 1 1 1 1 1 1 1 1",12,3,14,3,N,Winning,N,27,27,1,"[R0C11]"
"13 3 1 1 1 1 1 1 1 1 1 1 1 1",13,3,14,0,P,Losing,P,28,28,0,"N/A (P-position)"
"14 3 1 1 1 1 1 1 1 1 1 1 1 1",14,3,14,5,N,Winning,N,29,29,1,"[R0C13]"
"15 3 1 1 1 1 1 1 1 1 1 1 1 1",15,3,14,0,P,Losing,P,30,30,0,"N/A (P-position)"
"16 3 1 1 1 1 1 1 1 1 1 1 1 1",16,3,14,1,N,Winning,N,31,31,1,"[R0C15]"
"17 3 1 1 1 1 1 1 1 1 1 1 1 1",17,3,14,0,P,Losing,P,32,32,0,"N/A (P-position)"
"18 3 1 1 1 1 1 1 1 1 1 1 1 1",18,3,14,1,N,Winning,N,33,33,1,"[R0C17]"
"19 3 1 1 1 1 1 1 1 1 1 1 1 1",19,3,14,0,P,Losing,P,34,34,0,"N/A (P-position)"
"20 3 1 1 1 1 1 1 1 1 1 1 1 1",20,3,14,1,N,Winning,N,35,35,1,"[R0C19]"
"4 4 1 1 1 1 1 1 1 1 1 1 1 1",4,4,14,0,P,Losing,P,20,20,0,"N/A (P-position)"
"5 4 1 1 1 1 1 1 1 1 1 1 1 1",5,4,14,5,N,Winning,N,21,21,2,"[R0C4] / [R1C3]"
"6 4 1 1 1 1 1 1 1 1 1 1 1 1",6,4,14,7,N,Winning,N,21,22,1,"[R0C5,R1C3]"
"7 4 1 1 1 1 1 1 1 1 1 1 1 1",7,4,14,5,N,Winning,N,23,23,1,"[R1C3]"
"8 4 1 1 1 1 1 1 1 1 1 1 1 1",8,4,14,6,N,Winning,N,23,24,1,"[R0C7,R1C3]"
"9 4 1 1 1 1 1 1 1 1 1 1 1 1",9,4,14,5,N,Winning,N,25,25,1,"[R1C3]"
"10 4 1 1 1 1 1 1 1 1 1 1 1 1",10,4,14,6,N,Winning,N,25,26,1,"[R0C9,R1C3]"
"11 4 1 1 1 1 1 1 1 1 1 1 1 1",11,4,14,5,N,Winning,N,27,27,1,"[R1C3]"
"12 4 1 1 1 1 1 1 1 1 1 1 1 1",12,4,14,6,N,Winning,N,27,28,1,"[R0C11,R1C3]"
"13 4 1 1 1 1 1 1 1 1 1 1 1 1",13,4,14,1,N,Winning,N,29,29,1,"[R1C3]"
"14 4 1 1 1 1 1 1 1 1 1 1 1 1",14,4,14,6,N,Winning,N,29,30,1,"[R0C13,R1C3]"
"15 4 1 1 1 1 1 1 1 1 1 1 1 1",15,4,14,1,N,Winning,N,31,31,1,"[R1C3]"
"16 4 1 1 1 1 1 1 1 1 1 1 1 1",16,4,14,6,N,Winning,N,31,32,1,"[R0C15,R1C3]"
"17 4 1 1 1 1 1 1 1 1 1 1 1 1",17,4,14,7,N,Winning,N,33,33,1,"[R1C3]"
"18 4 1 1 1 1 1 1 1 1 1 1 1 1",18,4,14,6,N,Winning,N,33,34,1,"[R0C17,R1C3]"
"19 4 1 1 1 1 1 1 1 1 1 1 1 1",19,4,14,7,N,Winning,N,35,35,1,"[R1C3]"
"20 4 1 1 1 1 1 1 1 1 1 1 1 1",20,4,14,6,N,Winning,N,35,36,1,"[R0C19,R1C3]"
"5 5 1 1 1 1 1 1 1 1 1 1 1 1",5,5,14,0,P,Losing,P,22,22,0,"N/A (P-position)"
"6 5 1 1 1 1 1 1 1 1 1 1 1 1",6,5,14,3,N,Winning,N,23,23,1,"[R0C5]"
"7 5 1 1 1 1 1 1 1 1 1 1 1 1",7,5,14,0,P,Losing,P,24,24,0,"N/A (P-position)"
"8 5 1 1 1 1 1 1 1 1 1 1 1 1",8,5,14,3,N,Winning,N,25,25,1,"[R0C7]"
"9 5 1 1 1 1 1 1 1 1 1 1 1 1",9,5,14,0,P,Losing,P,26,26,0,"N/A (P-position)"
"10 5 1 1 1 1 1 1 1 1 1 1 1 1",10,5,14,3,N,Winning,N,27,27,1,"[R0C9]"
"11 5 1 1 1 1 1 1 1 1 1 1 1 1",11,5,14,0,P,Losing,P,28,28,0,"N/A (P-position)"
"12 5 1 1 1 1 1 1 1 1 1 1 1 1",12,5,14,1,N,Winning,N,29,29,1,"[R0C11]"
"13 5 1 1 1 1 1 1 1 1 1 1 1 1",13,5,14,0,P,Losing,P,30,30,0,"N/A (P-position)"
"14 5 1 1 1 1 1 1 1 1 1 1 1 1",14,5,14,5,N,Winning,N,31,31,1,"[R0C13]"
"15 5 1 1 1 1 1 1 1 1 1 1 1 1",15,5,14,0,P,Losing,P,32,32,0,"N/A (P-position)"
"16 5 1 1 1 1 1 1 1 1 1 1 1 1",16,5,14,3,N,Winning,N,33,33,1,"[R0C15]"
"17 5 1 1 1 1 1 1 1 1 1 1 1 1",17,5,14,0,P,Losing,P,34,34,0,"N/A (P-position)"
"18 5 1 1 1 1 1 1 1 1 1 1 1 1",18,5,14,1,N,Winning,N,35,35,1,"[R0C17]"
"19 5 1 1 1 1 1 1 1 1 1 1 1 1",19,5,14,0,P,Losing,P,36,36,0,"N/A (P-position)"
"20 5 1 1 1 1 1 1 1 1 1 1 1 1",20,5,14,1,N,Winning,N,37,37,1,"[R0C19]"
"6 6 1 1 1 1 1 1 1 1 1 1 1 1",6,6,14,0,P,Losing,P,24,24,0,"N/A (P-position)"
"7 6 1 1 1 1 1 1 1 1 1 1 1 1",7,6,14,5,N,Winning,N,25,25,2,"[R0C6] / [R1C5]"
"8 6 1 1 1 1 1 1 1 1 1 1 1 1",8,6,14,6,N,Winning,N,25,26,1,"[R0C7,R1C5]"
"9 6 1 1 1 1 1 1 1 1 1 1 1 1",9,6,14,5,N,Winning,N,27,27,1,"[R1C5]"
"10 6 1 1 1 1 1 1 1 1 1 1 1 1",10,6,14,6,N,Winning,N,27,28,1,"[R0C9,R1C5]"
"11 6 1 1 1 1 1 1 1 1 1 1 1 1",11,6,14,1,N,Winning,N,29,29,1,"[R1C5]"
"12 6 1 1 1 1 1 1 1 1 1 1 1 1",12,6,14,5,N,Winning,N,29,30,1,"[R0C11,R1C5]"
"13 6 1 1 1 1 1 1 1 1 1 1 1 1",13,6,14,3,N,Winning,N,31,31,1,"[R1C5]"
"14 6 1 1 1 1 1 1 1 1 1 1 1 1",14,6,14,6,N,Winning,N,31,32,1,"[R0C13,R1C5]"
"15 6 1 1 1 1 1 1 1 1 1 1 1 1",15,6,14,3,N,Winning,N,33,33,1,"[R1C5]"
"16 6 1 1 1 1 1 1 1 1 1 1 1 1",16,6,14,5,N,Winning,N,33,34,1,"[R0C15,R1C5]"
"17 6 1 1 1 1 1 1 1 1 1 1 1 1",17,6,14,1,N,Winning,N,35,35,1,"[R1C5]"
"18 6 1 1 1 1 1 1 1 1 1 1 1 1",18,6,14,6,N,Winning,N,35,36,1,"[R0C17,R1C5]"
"19 6 1 1 1 1 1 1 1 1 1 1 1 1",19,6,14,7,N,Winning,N,37,37,1,"[R1C5]"
"20 6 1 1 1 1 1 1 1 1 1 1 1 1",20,6,14,6,N,Winning,N,37,38,1,"[R0C19,R1C5]"
"7 7 1 1 1 1 1 1 1 1 1 1 1 1",7,7,14,0,P,Losing,P,26,26,0,"N/A (P-position)"
"8 7 1 1 1 1 1 1 1 1 1 1 1 1",8,7,14,3,N,Winning,N,27,27,1,"[R0C7]"
"9 7 1 1 1 1 1 1 1 1 1 1 1 1",9,7,14,0,P,Losing,P,28,28,0,"N/A (P-position)"
"10 7 1 1 1 1 1 1 1 1 1 1 1 1",10,7,14,1,N,Winning,N,29,29,1,"[R0C9]"
"11 7 1 1 1 1 1 1 1 1 1 1 1 1",11,7,14,0,P,Losing,P,30,30,0,"N/A (P-position)"
"12 7 1 1 1 1 1 1 1 1 1 1 1 1",12,7,14,3,N,Winning,N,31,31,1,"[R0C11]"
"13 7 1 1 1 1 1 1 1 1 1 1 1 1",13,7,14,0,P,Losing,P,32,32,0,"N/A (P-position)"
"14 7 1 1 1 1 1 1 1 1 1 1 1 1",14,7,14,4,N,Winning,N,33,33,1,"[R0C13]"
"15 7 1 1 1 1 1 1 1 1 1 1 1 1",15,7,14,0,P,Losing,P,34,34,0,"N/A (P-position)"
"16 7 1 1 1 1 1 1 1 1 1 1 1 1",16,7,14,1,N,Winning,N,35,35,1,"[R0C15]"
"17 7 1 1 1 1 1 1 1 1 1 1 1 1",17,7,14,0,P,Losing,P,36,36,0,"N/A (P-position)"
"18 7 1 1 1 1 1 1 1 1 1 1 1 1",18,7,14,3,N,Winning,N,37,37,1,"[R0C17]"
"19 7 1 1 1 1 1 1 1 1 1 1 1 1",19,7,14,0,P,Losing,P,38,38,0,"N/A (P-position)"
"20 7 1 1 1 1 1 1 1 1 1 1 1 1",20,7,14,1,N,Winning,N,39,39,1,"[R0C19]"
"8 8 1 1 1 1 1 1 1 1 1 1 1 1",8,8,14,0,P,Losing,P,28,28,0,"N/A (P-position)"
"9 8 1 1 1 1 1 1 1 1 1 1 1 1",9,8,14,1,N,Winning,N,29,29,2,"[R0C8] / [R1C7]"
"10 8 1 1 1 1 1 1 1 1 1 1 1 1",10,8,14,5,N,Winning,N,29,30,1,"[R0C9,R1C7]"
"11 8 1 1 1 1 1 1 1 1 1 1 1 1",11,8,14,3,N,Winning,N,31,31,1,"[R1C7]"
"12 8 1 1 1 1 1 1 1 1 1 1 1 1",12,8,14,4,N,Winning,N,31,32,1,"[R0C11,R1C7]"
"13 8 1 1 1 1 1 1 1 1 1 1 1 1",13,8,14,1,N,Winning,N,33,33,1,"[R1C7]"
"14 8 1 1 1 1 1 1 1 1 1 1 1 1",14,8,14,6,N,Winning,N,33,34,1,"[R0C13,R1C7]"
"15 8 1 1 1 1 1 1 1 1 1 1 1 1",15,8,14,1,N,Winning,N,35,35,1,"[R1C7]"
"16 8 1 1 1 1 1 1 1 1 1 1 1 1",16,8,14,4,N,Winning,N,35,36,1,"[R0C15,R1C7]"
"17 8 1 1 1 1 1 1 1 1 1 1 1 1",17,8,14,3,N,Winning,N,37,37,1,"[R1C7]"
"18 8 1 1 1 1 1 1 1 1 1 1 1 1",18,8,14,5,N,Winning,N,37,38,1,"[R0C17,R1C7]"
"19 8 1 1 1 1 1 1 1 1 1 1 1 1",19,8,14,1,N,Winning,N,39,39,1,"[R1C7]"
"20 8 1 1 1 1 1 1 1 1 1 1 1 1",20,8,14,6,N,Winning,N,39,40,1,"[R0C19,R1C7]"
"9 9 1 1 1 1 1 1 1 1 1 1 1 1",9,9,14,0,P,Losing,P,30,30,0,"N/A (P-position)"
"10 9 1 1 1 1 1 1 1 1 1 1 1 1",10,9,14,3,N,Winning,N,31,31,1,"[R0C9]"
"11 9 1 1 1 1 1 1 1 1 1 1 1 1",11,9,14,0,P,Losing,P,32,32,0,"N/A (P-position)"
"12 9 1 1 1 1 1 1 1 1 1 1 1 1",12,9,14,1,N,Winning,N,33,33,1,"[R0C11]"
"13 9 1 1 1 1 1 1 1 1 1 1 1 1",13,9,14,0,P,Losing,P,34,34,0,"N/A (P-position)"
"14 9 1 1 1 1 1 1 1 1 1 1 1 1",14,9,14,2,N,Winning,N,35,35,1,"[R0C13]"
"15 9 1 1 1 1 1 1 1 1 1 1 1 1",15,9,14,0,P,Losing,P,36,36,0,"N/A (P-position)"
"16 9 1 1 1 1 1 1 1 1 1 1 1 1",16,9,14,3,N,Winning,N,37,37,1,"[R0C15]"
"17 9 1 1 1 1 1 1 1 1 1 1 1 1",17,9,14,0,P,Losing,P,38,38,0,"N/A (P-position)"
"18 9 1 1 1 1 1 1 1 1 1 1 1 1",18,9,14,1,N,Winning,N,39,39,1,"[R0C17]"
"19 9 1 1 1 1 1 1 1 1 1 1 1 1",19,9,14,0,P,Losing,P,40,40,0,"N/A (P-position)"
"20 9 1 1 1 1 1 1 1 1 1 1 1 1",20,9,14,3,N,Winning,N,41,41,1,"[R0C19]"
"10 10 1 1 1 1 1 1 1 1 1 1 1 1",10,10,14,0,P,Losing,P,32,32,0,"N/A (P-position)"
"11 10 1 1 1 1 1 1 1 1 1 1 1 1",11,10,14,5,N,Winning,N,33,33,2,"[R0C10] / [R1C9]"
"12 10 1 1 1 1 1 1 1 1 1 1 1 1",12,10,14,2,N,Winning,N,33,34,1,"[R0C11,R1C9]"
"13 10 1 1 1 1 1 1 1 1 1 1 1 1",13,10,14,6,N,Winning,N,35,35,1,"[R1C9]"
"14 10 1 1 1 1 1 1 1 1 1 1 1 1",14,10,14,1,N,Winning,N,35,36,1,"[R0C13,R1C9]"
"15 10 1 1 1 1 1 1 1 1 1 1 1 1",15,10,14,5,N,Winning,N,37,37,1,"[R1C9]"
"16 10 1 1 1 1 1 1 1 1 1 1 1 1",16,10,14,4,N,Winning,N,37,38,1,"[R0C15,R1C9]"
"17 10 1 1 1 1 1 1 1 1 1 1 1 1",17,10,14,1,N,Winning,N,39,39,1,"[R1C9]"
"18 10 1 1 1 1 1 1 1 1 1 1 1 1",18,10,14,5,N,Winning,N,39,40,1,"[R0C17,R1C9]"
"19 10 1 1 1 1 1 1 1 1 1 1 1 1",19,10,14,3,N,Winning,N,41,41,1,"[R1C9]"
"20 10 1 1 1 1 1 1 1 1 1 1 1 1",20,10,14,5,N,Winning,N,41,42,1,"[R0C19,R1C9]"
