Partition,c,λ2,r,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"19 9 1 1 1 1 1 1 1 1 1 1",19,9,12,0,P,Losing,P,38,38,0,"N/A (P-position)"
"20 9 1 1 1 1 1 1 1 1 1 1",20,9,12,1,N,Winning,N,39,39,1,"[R0C19]"
"10 10 1 1 1 1 1 1 1 1 1 1",10,10,12,0,P,Losing,P,30,30,0,"N/A (P-position)"
"11 10 1 1 1 1 1 1 1 1 1 1",11,10,12,2,N,Winning,N,31,31,2,"[R0C10] / [R1C9]"
"12 10 1 1 1 1 1 1 1 1 1 1",12,10,12,4,N,Winning,N,31,32,1,"[R0C11,R1C9]"
"13 10 1 1 1 1 1 1 1 1 1 1",13,10,12,7,N,Winning,N,33,33,1,"[R1C9]"
"14 10 1 1 1 1 1 1 1 1 1 1",14,10,12,1,N,Winning,N,33,34,1,"[R0C13,R1C9]"
"15 10 1 1 1 1 1 1 1 1 1 1",15,10,12,4,N,Winning,N,35,35,1,"[R1C9]"
"16 10 1 1 1 1 1 1 1 1 1 1",16,10,12,3,N,Winning,N,35,36,1,"[R0C15,R1C9]"
"17 10 1 1 1 1 1 1 1 1 1 1",17,10,12,2,N,Winning,N,37,37,1,"[R1C9]"
"18 10 1 1 1 1 1 1 1 1 1 1",18,10,12,5,N,Winning,N,37,38,1,"[R0C17,R1C9]"
"19 10 1 1 1 1 1 1 1 1 1 1",19,10,12,1,N,Winning,N,39,39,1,"[R1C9]"
"20 10 1 1 1 1 1 1 1 1 1 1",20,10,12,6,N,Winning,N,39,40,1,"[R0C19,R1C9]"
"11 11 1 1 1 1 1 1 1 1 1 1",11,11,12,0,P,Losing,P,32,32,0,"N/A (P-position)"
"12 11 1 1 1 1 1 1 1 1 1 1",12,11,12,1,N,Winning,N,33,33,1,"[R0C11]"
"13 11 1 1 1 1 1 1 1 1 1 1",13,11,12,0,P,Losing,P,34,34,0,"N/A (P-position)"
"14 11 1 1 1 1 1 1 1 1 1 1",14,11,12,5,N,Winning,N,35,35,1,"[R0C13]"
"15 11 1 1 1 1 1 1 1 1 1 1",15,11,12,0,P,Losing,P,36,36,0,"N/A (P-position)"
"16 11 1 1 1 1 1 1 1 1 1 1",16,11,12,6,N,Winning,N,37,37,1,"[R0C15]"
"17 11 1 1 1 1 1 1 1 1 1 1",17,11,12,0,P,Losing,P,38,38,0,"N/A (P-position)"
"18 11 1 1 1 1 1 1 1 1 1 1",18,11,12,1,N,Winning,N,39,39,1,"[R0C17]"
"19 11 1 1 1 1 1 1 1 1 1 1",19,11,12,0,P,Losing,P,40,40,0,"N/A (P-position)"
"20 11 1 1 1 1 1 1 1 1 1 1",20,11,12,2,N,Winning,N,41,41,1,"[R0C19]"
"12 12 1 1 1 1 1 1 1 1 1 1",12,12,12,0,P,Losing,P,34,34,0,"N/A (P-position)"
"13 12 1 1 1 1 1 1 1 1 1 1",13,12,12,4,N,Winning,N,35,35,2,"[R0C12] / [R1C11]"
"14 12 1 1 1 1 1 1 1 1 1 1",14,12,12,1,N,Winning,N,35,36,1,"[R0C13,R1C11]"
"15 12 1 1 1 1 1 1 1 1 1 1",15,12,12,2,N,Winning,N,37,37,1,"[R1C11]"
"16 12 1 1 1 1 1 1 1 1 1 1",16,12,12,5,N,Winning,N,37,38,1,"[R0C15,R1C11]"
"17 12 1 1 1 1 1 1 1 1 1 1",17,12,12,1,N,Winning,N,39,39,1,"[R1C11]"
"18 12 1 1 1 1 1 1 1 1 1 1",18,12,12,2,N,Winning,N,39,40,1,"[R0C17,R1C11]"
"19 12 1 1 1 1 1 1 1 1 1 1",19,12,12,3,N,Winning,N,41,41,1,"[R1C11]"
"20 12 1 1 1 1 1 1 1 1 1 1",20,12,12,4,N,Winning,N,41,42,1,"[R0C19,R1C11]"
"13 13 1 1 1 1 1 1 1 1 1 1",13,13,12,0,P,Losing,P,36,36,0,"N/A (P-position)"
"14 13 1 1 1 1 1 1 1 1 1 1",14,13,12,6,N,Winning,N,37,37,1,"[R0C13]"
"15 13 1 1 1 1 1 1 1 1 1 1",15,13,12,0,P,Losing,P,38,38,0,"N/A (P-position)"
"16 13 1 1 1 1 1 1 1 1 1 1",16,13,12,1,N,Winning,N,39,39,1,"[R0C15]"
"17 13 1 1 1 1 1 1 1 1 1 1",17,13,12,0,P,Losing,P,40,40,0,"N/A (P-position)"
