Partition,c,λ2,k,j,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"20 10 2 2 2 2 1 1",20,10,4,2,0,P,Losing,P,40,40,0,"N/A (P-position)"
"11 11 2 2 2 2 1 1",11,11,4,2,0,P,Losing,P,32,32,0,"N/A (P-position)"
"12 11 2 2 2 2 1 1",12,11,4,2,1,N,Winning,N,33,33,2,"[R0C11] / [R1C10]"
"13 11 2 2 2 2 1 1",13,11,4,2,3,N,Winning,N,33,34,1,"[R0C12,R1C10]"
"14 11 2 2 2 2 1 1",14,11,4,2,2,N,Winning,N,35,35,1,"[R1C10]"
"15 11 2 2 2 2 1 1",15,11,4,2,10,N,Winning,N,35,36,1,"[R0C14,R1C10]"
"16 11 2 2 2 2 1 1",16,11,4,2,3,N,Winning,N,37,37,1,"[R1C10]"
"17 11 2 2 2 2 1 1",17,11,4,2,4,N,Winning,N,37,38,1,"[R0C16,R1C10]"
"18 11 2 2 2 2 1 1",18,11,4,2,1,N,Winning,N,39,39,1,"[R1C10]"
"19 11 2 2 2 2 1 1",19,11,4,2,3,N,Winning,N,39,40,1,"[R0C18,R1C10]"
"20 11 2 2 2 2 1 1",20,11,4,2,1,N,Winning,N,41,41,1,"[R1C10]"
"12 12 2 2 2 2 1 1",12,12,4,2,0,P,Losing,P,34,34,0,"N/A (P-position)"
"13 12 2 2 2 2 1 1",13,12,4,2,2,N,Winning,N,35,35,1,"[R0C12]"
"14 12 2 2 2 2 1 1",14,12,4,2,0,P,Losing,P,36,36,0,"N/A (P-position)"
"15 12 2 2 2 2 1 1",15,12,4,2,1,N,Winning,N,37,37,1,"[R0C14]"
"16 12 2 2 2 2 1 1",16,12,4,2,0,P,Losing,P,38,38,0,"N/A (P-position)"
"17 12 2 2 2 2 1 1",17,12,4,2,8,N,Winning,N,39,39,1,"[R0C16]"
"18 12 2 2 2 2 1 1",18,12,4,2,0,P,Losing,P,40,40,0,"N/A (P-position)"
"19 12 2 2 2 2 1 1",19,12,4,2,2,N,Winning,N,41,41,1,"[R0C18]"
"20 12 2 2 2 2 1 1",20,12,4,2,0,P,Losing,P,42,42,0,"N/A (P-position)"
"13 13 2 2 2 2 1 1",13,13,4,2,0,P,Losing,P,36,36,0,"N/A (P-position)"
"14 13 2 2 2 2 1 1",14,13,4,2,1,N,Winning,N,37,37,2,"[R0C13] / [R1C12]"
"15 13 2 2 2 2 1 1",15,13,4,2,4,N,Winning,N,37,38,1,"[R0C14,R1C12]"
"16 13 2 2 2 2 1 1",16,13,4,2,2,N,Winning,N,39,39,1,"[R1C12]"
"17 13 2 2 2 2 1 1",17,13,4,2,11,N,Winning,N,39,40,1,"[R0C16,R1C12]"
"18 13 2 2 2 2 1 1",18,13,4,2,3,N,Winning,N,41,41,1,"[R1C12]"
"19 13 2 2 2 2 1 1",19,13,4,2,4,N,Winning,N,41,42,1,"[R0C18,R1C12]"
"20 13 2 2 2 2 1 1",20,13,4,2,1,N,Winning,N,43,43,1,"[R1C12]"
"14 14 2 2 2 2 1 1",14,14,4,2,0,P,Losing,P,38,38,0,"N/A (P-position)"
"15 14 2 2 2 2 1 1",15,14,4,2,2,N,Winning,N,39,39,1,"[R0C14]"
"16 14 2 2 2 2 1 1",16,14,4,2,0,P,Losing,P,40,40,0,"N/A (P-position)"
"17 14 2 2 2 2 1 1",17,14,4,2,1,N,Winning,N,41,41,1,"[R0C16]"
"18 14 2 2 2 2 1 1",18,14,4,2,0,P,Losing,P,42,42,0,"N/A (P-position)"
"19 14 2 2 2 2 1 1",19,14,4,2,8,N,Winning,N,43,43,1,"[R0C18]"
"20 14 2 2 2 2 1 1",20,14,4,2,0,P,Losing,P,44,44,0,"N/A (P-position)"
"15 15 2 2 2 2 1 1",15,15,4,2,0,P,Losing,P,40,40,0,"N/A (P-position)"
"16 15 2 2 2 2 1 1",16,15,4,2,1,N,Winning,N,41,41,2,"[R0C15] / [R1C14]"
"17 15 2 2 2 2 1 1",17,15,4,2,2,N,Winning,N,41,42,1,"[R0C16,R1C14]"
"18 15 2 2 2 2 1 1",18,15,4,2,9,N,Winning,N,43,43,1,"[R1C14]"
"19 15 2 2 2 2 1 1",19,15,4,2,2,N,Winning,N,43,44,1,"[R0C18,R1C14]"
"20 15 2 2 2 2 1 1",20,15,4,2,3,N,Winning,N,45,45,1,"[R1C14]"
"16 16 2 2 2 2 1 1",16,16,4,2,0,P,Losing,P,42,42,0,"N/A (P-position)"
"17 16 2 2 2 2 1 1",17,16,4,2,4,N,Winning,N,43,43,1,"[R0C16]"
"18 16 2 2 2 2 1 1",18,16,4,2,0,P,Losing,P,44,44,0,"N/A (P-position)"
"19 16 2 2 2 2 1 1",19,16,4,2,1,N,Winning,N,45,45,1,"[R0C18]"
"20 16 2 2 2 2 1 1",20,16,4,2,0,P,Losing,P,46,46,0,"N/A (P-position)"
"17 17 2 2 2 2 1 1",17,17,4,2,0,P,Losing,P,44,44,0,"N/A (P-position)"
"18 17 2 2 2 2 1 1",18,17,4,2,1,N,Winning,N,45,45,2,"[R0C17] / [R1C16]"
