Partition,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"1 1 1",1,N,Losing,P,3,3,1,"[R2C0]"
"2 1 1",3,N,Winning,N,3,4,1,"[R0C1,R2C0]"
"2 2 1",1,N,Winning,N,5,5,1,"[R2C0]"
"2 2 2",0,P,Losing,P,6,6,0,"N/A (P-position)"
"3 1 1",0,P,Losing,P,4,5,0,"N/A (P-position)"
"3 2 1",4,N,Winning,N,5,6,2,"[R1C1] / [R0C2,R2C0]"
"3 2 2",2,N,Winning,N,7,7,1,"[R0C2]"
"3 3 1",2,N,Winning,N,7,7,1,"[R2C0]"
"3 3 2",0,P,Losing,P,8,8,0,"N/A (P-position)"
"3 3 3",1,N,Winning,N,9,9,1,"[R2C2]"
"4 1 1",1,N,Winning,N,5,6,1,"[R0C3]"
"4 2 1",5,N,Winning,N,5,7,2,"[R0C3,R1C1] / [R2C0]"
"4 2 2",0,P,Losing,P,8,8,0,"N/A (P-position)"
"4 3 1",3,N,Winning,N,7,8,2,"[R0C3,R2C0] / [R1C2,R2C0]"
"4 3 2",1,N,Winning,N,9,9,2,"[R0C3] / [R1C2]"
"4 3 3",2,N,Winning,N,9,10,1,"[R0C3,R2C2]"
"4 4 1",1,N,Winning,N,9,9,1,"[R2C0]"
"4 4 2",0,P,Losing,P,10,10,0,"N/A (P-position)"
"4 4 3",3,N,Winning,N,11,11,1,"[R2C2]"
"4 4 4",0,P,Losing,P,12,12,0,"N/A (P-position)"
"5 1 1",0,P,Losing,P,6,7,0,"N/A (P-position)"
"5 2 1",4,N,Winning,N,7,8,2,"[R1C1] / [R0C4,R2C0]"
"5 2 2",1,N,Winning,N,9,9,1,"[R0C4]"
"5 3 1",6,N,Winning,N,7,9,1,"[R0C4,R1C2,R2C0]"
"5 3 2",2,N,Winning,N,9,10,1,"[R0C4,R1C2]"
"5 3 3",0,P,Losing,P,10,11,0,"N/A (P-position)"
"5 4 1",4,N,Winning,N,9,10,1,"[R0C4,R2C0]"
"5 4 2",5,N,Winning,N,11,11,1,"[R0C4]"
"5 4 3",4,N,Winning,N,11,12,2,"[R1C3] / [R0C4,R2C2]"
"5 4 4",1,N,Winning,N,13,13,1,"[R0C4]"
"5 5 1",2,N,Winning,N,11,11,1,"[R2C0]"
"5 5 2",0,P,Losing,P,12,12,0,"N/A (P-position)"
"5 5 3",1,N,Winning,N,13,13,1,"[R2C2]"
"5 5 4",0,P,Losing,P,14,14,0,"N/A (P-position)"
"5 5 5",1,N,Winning,N,15,15,1,"[R2C4]"
"6 1 1",1,N,Winning,N,7,8,1,"[R0C5]"
"6 2 1",5,N,Winning,N,7,9,2,"[R0C5,R1C1] / [R2C0]"
"6 2 2",0,P,Losing,P,10,10,0,"N/A (P-position)"
"6 3 1",7,N,Winning,N,9,10,1,"[R1C2,R2C0]"
"6 3 2",3,N,Winning,N,11,11,1,"[R1C2]"
"6 3 3",1,N,Winning,N,11,12,1,"[R0C5]"
"6 4 1",5,N,Winning,N,11,11,1,"[R2C0]"
"6 4 2",0,P,Losing,P,12,12,0,"N/A (P-position)"
"6 4 3",6,N,Winning,N,11,13,2,"[R0C5,R1C3] / [R2C2]"
"6 4 4",0,P,Losing,P,14,14,0,"N/A (P-position)"
"6 5 1",3,N,Winning,N,11,12,2,"[R0C5,R2C0] / [R1C4,R2C0]"
"6 5 2",1,N,Winning,N,13,13,2,"[R0C5] / [R1C4]"
"6 5 3",2,N,Winning,N,13,14,2,"[R0C5,R2C2] / [R1C4,R2C2]"
"6 5 4",3,N,Winning,N,15,15,2,"[R0C5] / [R1C4]"
"6 5 5",2,N,Winning,N,15,16,1,"[R0C5,R2C4]"
"6 6 1",1,N,Winning,N,13,13,1,"[R2C0]"
"6 6 2",0,P,Losing,P,14,14,0,"N/A (P-position)"
"6 6 3",3,N,Winning,N,15,15,1,"[R2C2]"
"6 6 4",0,P,Losing,P,16,16,0,"N/A (P-position)"
"6 6 5",1,N,Winning,N,17,17,1,"[R2C4]"
"6 6 6",0,P,Losing,P,18,18,0,"N/A (P-position)"
"7 1 1",0,P,Losing,P,8,9,0,"N/A (P-position)"
"7 2 1",4,N,Winning,N,9,10,2,"[R1C1] / [R0C6,R2C0]"
"7 2 2",1,N,Winning,N,11,11,1,"[R0C6]"
"7 3 1",6,N,Winning,N,9,11,1,"[R0C6,R1C2,R2C0]"
"7 3 2",2,N,Winning,N,11,12,1,"[R0C6,R1C2]"
"7 3 3",0,P,Losing,P,12,13,0,"N/A (P-position)"
"7 4 1",4,N,Winning,N,11,12,1,"[R0C6,R2C0]"
